Direccion,Precio,UF,m2_Construidos,m2_totales,Habitaciones,Banos,Estacionamientos,Publi
"Las Condes, Francisco Bulnes Correa",992455500,28500.0,453,820,5,5,5,30/11/2022
"San Bernardo, av. central con santa inés.",62193878,1786.0,53,60,2,1,1,30/11/2022
"Peñaflor, Larrain/Bilbao",674521510,19370.0,502,725,3,4,0,30/11/2022
"Ñuñoa, Ñuñoa, Región Metropolitana",766106000,22000.0,300,600,5,4,4,30/11/2022
"Lampa, Condominio Laguna Norte Valle Grande",163668100,4700.0,97,159,4,3,2,30/11/2022
"Ñuñoa, Casa 2 Pisos a pasos de Estación Metro Príncipe de Gales",440000000,12635.327,245,295,5,4,1,30/11/2022
"San Bernardo, santa marta",70000000,2010.166,0,0,3,1,4,30/11/2022
"Lo Prado, Isla Decepcion     YC 60663/Adonay",102380000,2940.011,102,162,3,1,0,30/11/2022
"Las Condes, Pasaje Leon 3819",550203400,15800.0,160,200,3,2,1,30/11/2022
"Buin, Valdivia de paine, buin",198839330,5710.0,90,402,3,2,0,30/11/2022
"Las Condes, Martin De Zamora Sanchez Fontecilla",414393700,11900.0,110,195,3,3,1,30/11/2022
"Renca, Arturo Prat",181079600,5200.0,74,456,3,2,3,30/11/2022
"Colina, chicureo",398699114,11538.436,210,210,4,3,2,30/11/2022
"Maipú, Las Naciones con el Zaguan",62000000,1780.432,50,80,4,1,1,30/11/2022
"La Reina, Talinay, Condominio La Reina",755659100,21700.0,220,690,5,5,4,30/11/2022
"Cerro Navia, Mar de Chile/Avenida Serrano",82000000,2354.766,114,70,4,2,1,30/11/2022
"La Florida, Las nalcas sur",343000000,9849.812,131,1500,3,2,4,30/11/2022
"Lo Barnechea, Colegio Santiago College",975044000,28000.0,344,853,4,4,10,30/11/2022
"San Bernardo, Balmaceda con Santa Corina",69297770,1990.0,90,100,4,2,1,30/11/2022
"La Cisterna, Amalia Armstrong / Paradero 20 Gran Avenida",270000000,7753.496,105,330,3,2,0,30/11/2022
"Puente Alto, El Peral/Martin Pescador",85000000,2440.915,79,74,3,2,1,30/11/2022
"La Granja, Santa Rosa Paradero 25",110110326,3162.0,84,126,3,2,2,30/11/2022
"Lampa, La  Montaña  YC  60025/Bulevar San Cristobal",154990000,4450.794,75,120,3,3,0,30/11/2022
"Puente Alto, Calle Corregidor Poniente/Calle Independencia",142774300,4100.0,120,250,3,2,0,30/11/2022
"Maipú, Las Naciones/Av. Portales",65000000,1866.582,78,60,3,1,0,30/11/2022
"Vitacura, La llaveria 1763",591991000,17000.0,120,300,4,4,3,30/11/2022
"Pudahuel, Casa 2 Pisos en Pudahuel",50000000,1435.833,48,98,3,1,0,30/11/2022
"Las Condes, San Gabriel - Hendaya",661288770,18990.0,150,250,4,3,2,30/11/2022
"Vitacura, Colegio aleman-geronimo de alderete",536274200,15400.0,187,280,5,4,1,30/11/2022
"San Miguel, Octava avenida con Gran Avenida",320000000,9189.329,76,690,4,1,10,30/11/2022
"Cerrillos, Diputado Angel Fantuzzi",145000000,4163.915,90,125,6,3,0,30/11/2022
"Quilicura, C. Toros  ag /los europeos",175000000,5025.414,101,144,3,3,1,30/11/2022
"San Bernardo, Faro corona 2797, san bernardo",71213035,2045.0,84,84,4,1,1,30/11/2022
"Santiago, San Francisco, Ñuble, Santiago",420000000,12060.994,180,360,6,2,0,30/11/2022
"Maipú, Diputado Angel Fantuzzi",140000000,4020.331,120,200,3,3,2,30/11/2022
"Recoleta, educadora adel edwards 850",164573498,4726.0,120,120,6,2,0,30/11/2022
"Las Condes, la niña",626814000,18000.0,230,295,4,3,2,30/11/2022
"La Reina, Blest Gana con Javiera Carrera",452699000,13000.0,154,275,4,3,3,30/11/2022
"Colina, Hacienda Chicureo",818340500,23500.0,251,4300,5,4,3,30/11/2022
"Lampa, Av el rodeo 1135",243412770,6990.0,124,228,4,3,2,30/11/2022
"Cerrillos, Casa de 2 dormitorios, 1 baño, 324 mts2 terreno",114915900,3300.0,67,324,2,1,1,30/11/2022
"Las Condes, Las Condes, Región Metropolitana",679048500,19500.0,241,400,6,4,3,30/11/2022
"Santiago, Sierra Bella , Santiago de Chile",160000000,4594.664,360,90,3,1,0,30/11/2022
"Huechuraba, Hermosa casa dentro de condominio; 4 dormitorios!!!",424840600,12200.0,155,450,4,3,5,30/11/2022
"Pudahuel, Avenida laguna sur / avenida travesia",73000000,2096.316,130,75,6,1,1,30/11/2022
"Las Condes, Casa de 1 piso en Vital Apoquindo.",225000000,6461.247,80,315,3,2,0,30/11/2022
"Puente Alto, Eyzaguirre - Nonato Coo",146256600,4200.0,118,318,4,2,0,30/11/2022
"Puente Alto, La catalpa",105000000,3015.249,70,122,2,1,1,30/11/2022
"Vitacura, Panoramica Sur 11345",1149159000,33000.0,479,1083,6,5,4,30/11/2022
"Quilicura, castellon 382",181079600,5200.0,90,180,3,2,1,30/11/2022
"Lo Barnechea, Evenida paseo pie andino/pasaje pie andino",727800700,20900.0,260,900,4,4,0,30/11/2022
"Peñalolén, Condominio Jardín de la Foresta",435287500,12500.0,140,400,3,3,0,29/11/2022
"Puente Alto, villa ferroviaria 2",65815470,1890.0,48,93,2,1,2,29/11/2022
"Las Condes, Azapa- Dra. Ernestina Pérez",379570700,10900.0,98,98,4,2,2,29/11/2022
"Las Condes, La Foresta / Camino Otoñal / Colegio Padre Hurtado y Juanita de Los Andes",992455500,28500.0,373,1049,6,5,5,29/11/2022
"Estación Central, embajador quintanilla con radal",79000000,2268.616,80,120,2,1,1,29/11/2022
"Lo Barnechea, jose alcalde delano",696111770,19990.0,241,241,4,3,0,29/11/2022
"Santiago, Lord cochrane /victoria",246895070,7090.0,221,262,5,2,4,29/11/2022
"Las Condes, Padre Hurtado Central / Bocaccio",658154700,18900.0,231,446,5,4,4,29/11/2022
"La Florida, El hualle",452699000,13000.0,200,1210,5,4,6,29/11/2022
"Puente Alto, Salitrera Ramírez & Portal Andino",90000000,2584.499,82,135,4,2,1,29/11/2022
"La Florida, Paseo Mayor",90000000,2584.499,83,120,4,1,2,29/11/2022
"Estación Central, arica",68000000,1952.732,50,70,2,1,1,29/11/2022
"La Florida, El Hualle sur",260000000,7466.33,138,200,3,3,3,29/11/2022
"Melipilla, Carmen Bajo, Melipilla",240000000,6891.997,250,6000,8,6,56,29/11/2022
"Vitacura, Antilhue",1462566000,42000.0,480,1090,6,6,3,29/11/2022
"Peñaflor, Avenida balmaceda 1656",175682035,5045.0,80,309,3,2,2,29/11/2022
"Lampa, Villa los robles",54000000,1550.699,57,77,3,2,2,29/11/2022
"Vitacura, Colegio manquehue-san esteban estadio croata",644225500,18500.0,180,250,4,4,0,29/11/2022
"Buin, Hugo Leiva, Buin",134068550,3850.0,77,168,3,3,2,29/11/2022
"Las Condes, Monroe / Tomás Moro",351712300,10100.0,104,286,4,2,0,29/11/2022
"Las Condes, En condominio/avenida plaza",660940540,18980.0,179,356,5,4,0,29/11/2022
"La Florida, Nuestra Señora de Lourdes, La Florida",132327400,3800.0,70,170,3,2,2,29/11/2022
"Conchalí, Lanin",390000000,11199.495,180,800,3,3,5,29/11/2022
"Maipú, Meseta Japon",138000000,3962.898,66,115,3,2,2,29/11/2022
"Puente Alto, Sgto. Menadier con Av.Juanita, puente Alto.",66686045,1915.0,50,60,3,1,0,29/11/2022
"San Joaquín, Marsella 175",159000000,4565.948,81,180,4,1,2,29/11/2022
"Pedro Aguirre Cerda, Miguel Dávila",155415049,4463.0,0,0,5,1,0,29/11/2022
"La Florida, Entre rojas magallanes y santa julia",362159200,10400.0,194,454,5,4,2,29/11/2022
"Las Condes, Padre Errazuriz",450957850,12950.0,120,335,4,3,0,29/11/2022
"Lo Espejo, Av. Cerrillos/Pio Xll",130000000,3733.165,60,80,5,2,0,29/11/2022
"Puente Alto, Laguna Sausalito",130000000,3733.165,54,135,4,2,2,29/11/2022
"San Joaquín, Santiago",380754682,10934.0,700,700,6,3,8,29/11/2022
"Colina, Condominio Polo Manquehue",692977700,19900.0,404,5595,5,5,22,29/11/2022
"La Florida, Los Canelos",150000000,4307.498,275,275,4,2,1,29/11/2022
"El Bosque, Gran Avenida, El Observatorio. Comuna El Bosque",160000000,4594.664,54,418,3,1,0,29/11/2022
"Peñalolén, Casa Grande",414393700,11900.0,180,700,6,5,0,29/11/2022
"Ñuñoa, Metro Villa Frei // Lo Plaza",487173770,13990.0,198,402,4,3,0,29/11/2022
"San Bernardo, Villa maestranza",130586250,3750.0,84,140,3,2,1,29/11/2022
"Peñalolén, San Luis de Macul",150000000,4307.498,0,0,4,2,2,29/11/2022
"Independencia, Pablo Urzua",146256600,4200.0,150,262,4,2,0,29/11/2022
"Til til, Dario Ovalle/Manuel Rodriguez",155000000,4451.081,300,1100,8,3,0,29/11/2022
"Quilicura, Manuel Antonio Matta/Av. Lo Cruzat, Quilicura",170000000,4881.831,87,350,3,1,1,29/11/2022
"La Florida, Rojas Magallanes / Las Perdices",383053000,11000.0,155,299,5,3,4,29/11/2022
"Quilicura, Pasaje Singaraja/Carpay",80000000,2297.332,74,90,3,1,1,29/11/2022
"Las Condes, Tongoy con Pozo al Monte",381311850,10950.0,124,320,5,2,3,29/11/2022
"Til til, Jardin Oriente/Jardin Oriente",159837570,4590.0,109,268,3,3,0,29/11/2022
"Las Condes, Condominio //san carlos de apoquindo",961114800,27600.0,317,660,4,3,0,29/11/2022
"El Bosque, Gran avenida josé miguel carrera/riquelme",581544100,16700.0,129,1176,4,1,0,29/11/2022
"Santiago, Los Bosques de Maipú - Capellán Florencio Infante",140000000,4020.331,88,121,3,3,0,29/11/2022
"Maipú, Maipú, Región Metropolitana",125362800,3600.0,89,122,4,3,1,29/11/2022
"Puente Alto, Pasaje Ocho",82000000,2354.766,90,80,2,1,1,29/11/2022
"Las Condes, Estadio Español",508415800,14600.0,140,250,3,3,2,29/11/2022
"Huechuraba, Alberto undurraga",306442400,8800.0,140,250,5,3,2,29/11/2022
"Quilicura, Pasaje Motril 500",120000000,3445.998,88,95,4,3,1,29/11/2022
"Maipú, Maipú",140000000,4020.331,116,166,5,2,2,29/11/2022
"San Bernardo, Casa 2 Pisos en Condominio La Pradera",160000000,4594.664,104,273,4,3,0,29/11/2022
"Huechuraba, Linda casa, mantenida como nueva.",240278700,6900.0,107,227,4,3,2,29/11/2022
"Puente Alto, Pasaje Rio Manzano",67000000,1924.016,0,0,4,2,1,29/11/2022
"Huechuraba, Pedro Fontova",243761000,7000.0,120,210,4,3,4,29/11/2022
"Santiago, Villa Los Esteros, Quilicura, RM",84000000,2412.199,84,104,2,2,2,29/11/2022
"La Reina, Vicente perez rosales   colegio andree/condominio-  piscina    calos siva vildosola",417876000,12000.0,220,250,4,3,0,29/11/2022
"Las Condes, Jumbo Bilbao- Metro Bilbao/Colegio Ignacio- San Gabriel-  Isabel Catolica",365641500,10500.0,140,250,3,3,2,29/11/2022
"Colina, Chicureo - Chamisero",585000000,16799.242,235,550,6,2,0,29/11/2022
"Peñalolén, El Buen Camino 10400",463145900,13300.0,150,480,4,4,2,29/11/2022
"Maipú, Asunción/Puerto Madero",76000000,2182.466,60,80,4,1,1,29/11/2022
"Santiago, Herrera",668601600,19200.0,650,690,6,4,0,29/11/2022
"Estación Central, Aysen/Quinchao",130000000,3733.165,140,180,3,1,0,29/11/2022
"Macul, Avenida Quilín, Metro Estación Quilín macul",208938000,6000.0,99,393,5,2,1,29/11/2022
"Quilicura, Pasaje Miami",80789360,2320.0,60,80,2,1,2,29/11/2022
"Pedro Aguirre Cerda, Safo 5959",89000000,2555.782,51,154,3,1,1,29/11/2022
"La Florida, San Jose de la Estrella  YC 57669/Las Violetas",278584000,8000.0,145,450,4,2,0,29/11/2022
"Colina, Parque central, chicureo",496227750,14250.0,382,791,4,4,2,29/11/2022
"Puente Alto, Eyzaguirre/Hermano domingo",58000000,1665.566,65,70,3,1,2,29/11/2022
"Las Condes, Av. Republica de Honduras / Av. San Carlos de Apoquindo",654672400,18800.0,210,340,5,4,4,29/11/2022
"Quinta Normal, Santa adriana con samuel izquierdo.",140000000,4020.331,76,204,3,1,2,29/11/2022
"Las Condes, Quinchamali / Avenida Del Monte",853163500,24500.0,320,1028,4,4,3,29/11/2022
"El Monte, Anibal Pinto , El Monte",73128300,2100.0,81,110,3,1,0,29/11/2022
"Colina, Colina, Región Metropolitana",452350770,12990.0,170,816,5,4,2,29/11/2022
"Maipú, Juan Sebastian / Pajarito",260000000,7466.33,160,260,4,2,2,29/11/2022
"Vitacura, al lado del Club de Polo y frente a Casa Piedra",797446700,22900.0,144,530,4,2,7,29/11/2022
"Maipú, Maipú, Región Metropolitana",95000000,2728.082,64,80,3,1,0,29/11/2022
"San Joaquín, Chopin",160000000,4594.664,100,75,3,3,1,29/11/2022
"Quilicura, Pje. Don Luis 161",140000000,4020.331,115,141,4,2,1,29/11/2022
"Quilicura, Pje. Don Luis 161",140000000,4020.331,115,141,4,2,2,29/11/2022
"Colina, Chamisero, jumbo, tottus, dunalastair, lincoln",433546350,12450.0,173,386,4,4,0,29/11/2022
"Colina, La Sierra de Chicureo",320371600,9200.0,120,350,3,3,2,29/11/2022
"Maipú, Lautaro",497272440,14280.0,250,1000,5,4,3,29/11/2022
"San Miguel, Tercera avenida // cuarta tranversal",390000000,11199.495,194,500,7,3,0,29/11/2022
"Renca, Educadora Aurora Valdes   YC 56026/Jose Manuel Balmaceda",88000000,2527.065,36,160,1,1,0,29/11/2022
"Colina, La Araucaria de Chile  AG/Aconcagua",98000000,2814.232,65,150,3,2,0,29/11/2022
"Providencia, Viña del Mar / Parque Bustamante",320197485,9195.0,218,172,11,3,0,29/11/2022
"San Bernardo, Prados de Nos",145000000,4163.915,70,161,3,2,2,29/11/2022
"Las Condes, Camino Otoñal/Francisco Bulnes Correa",992455500,28500.0,372,1049,6,6,0,29/11/2022
"Peñalolén, Altos de la arboleda/los peumos sur",341265400,9800.0,172,272,4,3,2,29/11/2022
"Vitacura, via aurora",1668021700,47900.0,1080,500,5,5,5,29/11/2022
"Pirque, Cerro El Purgatorio 1964",105000000,3015.249,50,250,2,1,2,29/11/2022
"Quinta Normal, Pedro Antonio Gonzalez/Compañia",123015800,3532.602,170,150,4,2,0,29/11/2022
"Santiago, ñuble (l5-l6)",154900000,4448.21,100,100,3,1,2,29/11/2022
"Maipú, Del Ferrocarril/Escuadra Nacional",69000000,1981.449,53,62,3,1,0,29/11/2022
"Santiago, Calle Lautaro, Casa Quinta , Ciudad Satélite, Maipú",414393700,11900.0,200,1200,5,3,2,29/11/2022
"Colina, La Reserva Chicureo Colina",449216700,12900.0,173,650,2,3,6,29/11/2022
"Lampa, Tomas gonzalez",56000000,1608.133,40,70,2,1,0,29/11/2022
"Buin, Victor Vera Letelier",151480050,4350.0,72,172,3,3,3,29/11/2022
"San Bernardo, Villa Maestranza",135809700,3900.0,87,95,3,2,1,29/11/2022
"Huechuraba, Av. El Sauce/Av. Los Libertadores",118433023,3401.0,94,105,4,2,0,29/11/2022
"Macul, Macul",530000000,15219.826,330,600,3,3,0,29/11/2022
"Peñalolén, Jardines de Vespucio, Peñalolen",264654800,7600.0,147,176,4,3,1,29/11/2022
"Maipú, Pajaritos",165000000,4738.248,90,199,3,2,2,29/11/2022
"Maipú, Alfredo silva carvallo, las naciones",165000000,4738.248,90,159,3,3,1,29/11/2022
"La Granja, Isla de Pascua / Isla Chiloé",139000000,3991.615,144,180,4,2,1,29/11/2022
"Lo Barnechea, Los Nogales/Pedro Lira Urueta",1044690000,30000.0,550,1232,6,6,0,29/11/2022
"Las Condes, Casa / volcan llaima / hernando de magallanes / las condes",379570700,10900.0,105,306,3,2,4,29/11/2022
"La Florida, Lía Aguirre / Fresia",180000000,5168.998,130,320,3,1,3,29/11/2022
"Lo Prado, Lo Prado, Región Metropolitana",150000000,4307.498,113,189,4,2,2,29/11/2022
"Buin, Caletera 5 sur/Av . San Sebastian",780000000,22398.989,150,4080,4,2,0,29/11/2022
"Pedro Aguirre Cerda, Dos de Abril",95000000,2728.082,126,136,4,1,3,29/11/2022
"La Pintana, Del Sembrador /Pedro Aguirre Cerda",69500000,1995.807,100,100,3,1,2,29/11/2022
"Maipú, San Fermín 250",128845100,3700.0,50,161,2,1,4,29/11/2022
"Lampa, Batuco",74869450,2150.0,54,86,3,1,2,29/11/2022
"Maipú, Santa Berta",135000000,3876.748,132,142,7,3,1,29/11/2022
"Lo Prado, Doctor Diego Aracena",98000000,2814.232,102,162,3,1,2,29/11/2022
"Maipú, Av. Alfredo Silva Carvallo 3100",128000000,3675.732,66,141,3,3,2,29/11/2022
"Vitacura, Pedro de villagra",762623700,21900.0,140,330,4,3,2,29/11/2022
"Pirque, loteo el cruceral 1",522345000,15000.0,350,5000,6,5,15,29/11/2022
"Las Condes, Carlos Alvaro/Manquehue",383053000,11000.0,120,280,3,3,0,29/11/2022
"La Florida, Brasil con Rojas Magallanes",285000000,8184.246,162,500,3,2,4,29/11/2022
"Huechuraba, Villa libertadores, Huechuraba",130000000,3733.165,75,144,5,2,1,29/11/2022
"Padre Hurtado, Padre Hurtado, Región Metropolitana",97852630,2810.0,68,140,3,2,1,29/11/2022
"Santiago, Vendo casa, con buena conectividad a min del metro pedrero precio oferta",107951300,3100.0,160,160,5,2,1,29/11/2022
"Cerro Navia, La Africana 7800",125000000,3589.582,153,243,7,3,2,29/11/2022
"Estación Central, Padre Jaime Larraín Hurtado",150000000,4307.498,105,190,2,2,3,29/11/2022
"Santiago, Compañía de Jesús / Cercano a Casa Presidencial",350000000,10050.828,374,237,13,6,0,29/11/2022
"San Joaquín, Pintor Durero",107951300,3100.0,160,160,5,2,1,29/11/2022
"Lo Barnechea, El Arrayán, Lo Barnechea",1288451000,37000.0,350,3500,7,7,6,29/11/2022
"Puente Alto, Linda Casa para vivir en familia, 120mts2 3H2B, condominio",128845100,3700.0,74,120,3,3,1,29/11/2022
"Puente Alto, Pasaje La Odisea 1816",63000000,1809.149,100,75,3,1,0,29/11/2022
"Lo Barnechea, Luis Bascunan",694718850,19950.0,195,220,3,3,2,29/11/2022
"Vitacura, Colegio San Benito/Agua del Palo",1741150000,50000.0,500,1602,6,5,0,29/11/2022
"San Bernardo, Lomas de Mirasur/Volcan Tatio",142774300,4100.0,74,128,3,2,0,29/11/2022
"Maipú, Calle original con pasaje santa flor sur",135000000,3876.748,122,90,4,3,1,29/11/2022
"Providencia, Pedro de Valdivia Norte/ Los Conquistadores",437028650,12550.0,122,172,4,3,0,29/11/2022
"Renca, El montijo",140000000,4020.331,83,120,3,3,3,29/11/2022
"Colina, Los Ingleses/Lo Arcaya Sector Brisas de Chicureo",800929000,23000.0,378,5255,5,6,8,29/11/2022
"Las Condes, Irlanda / Bocaccio / Chesterton",504933500,14500.0,136,493,3,2,0,29/11/2022
"Las Condes, Bilbao con Latadia",365641500,10500.0,105,250,5,3,0,29/11/2022
"Pudahuel, Av. Pedro de Aretxabala 1987",313058770,8990.0,120,282,3,3,3,29/11/2022
"Pedro Aguirre Cerda, Av julieta-av departamental  ag-57112 /av lazo",135000000,3876.748,70,200,3,1,0,29/11/2022
"Quinta Normal, Bismarck 1167",225000000,6461.247,160,170,3,1,0,29/11/2022
"Lampa, Larapinta  AG /Los Halcones",186000000,5341.297,110,275,4,3,0,29/11/2022
"Quilicura, Salvador de bahia ag-60485/montevideo",70000000,2010.166,52,71,2,1,0,29/11/2022
"Las Condes, Metro Escuela Militar",901915700,25900.0,190,670,3,2,4,29/11/2022
"Puente Alto, el peñon/aruba",180000000,5168.998,166,181,4,2,1,29/11/2022
"Colina, la comaico",42000000,1206.099,74,112,4,1,3,29/11/2022
"Colina, villa cordillera 4",75000000,2153.749,79,140,2,1,3,29/11/2022
"San Bernardo, Los Suspiros Almirante Rivero",99000000,2842.949,75,130,3,2,1,29/11/2022
"Talagante, pasado línea del tren, ante de llegar a condominio aguas claras",539756500,15500.0,268,5000,3,4,0,29/11/2022
"La Florida, Walker Martínez/El Llaverío",150000000,4307.498,90,200,4,3,1,29/11/2022
"Huechuraba, Huechuraba, Región Metropolitana",322112750,9250.0,140,240,5,3,3,29/11/2022
"Providencia, Ubicado entre la Av. Eliodoro Yáñez y Dario Urzua",181079600,5200.0,4,57,2,2,1,29/11/2022
"Puente Alto, C. La balanza nu 60237/av. San carlos",68000000,1952.732,62,61,3,1,1,29/11/2022
"Peñalolén, Pasaje , Peñalolén",120000000,3445.998,100,70,5,2,2,29/11/2022
"La Florida, Colombia / Trinidad Oriente",114915900,3300.0,70,180,3,2,1,29/11/2022
"Lo Prado, General Óscar   YC 61366/Juan de Fuca",135461470,3890.0,90,160,9,2,1,29/11/2022
"Lampa, C. Valle Canela   YC 61376/Herrera",80000000,2297.332,90,72,4,1,0,29/11/2022
"Lo Barnechea, Contralmirante Fernández Vial / Santa Blanca",1218805000,35000.0,670,2150,7,6,8,29/11/2022
"El Bosque, Arauco  YC 61387/Nancagua",97504400,2800.0,138,78,4,2,0,29/11/2022
"Quilicura, Krobokan  ag/Los Carpatos",80000000,2297.332,63,98,2,1,0,29/11/2022
"Isla de Maipo, C. Valle la reserva  ag/los jardines",170632700,4900.0,97,242,3,2,2,29/11/2022
"Estación Central, Obispo javier vasquez valencia",75000000,2153.749,68,69,2,1,0,29/11/2022
"Puente Alto, Santa elena con nemesio vicuña",300000000,8614.996,720,720,3,1,0,29/11/2022
"Puente Alto, Av. Diego portales  ag/av. Mexico",75000000,2153.749,48,90,3,1,0,29/11/2022
"Colina, Avenida Jose rabat",556819770,15990.0,164,650,3,3,3,29/11/2022
"San Bernardo, Lo herrera",445734400,12800.0,240,1000,4,3,5,29/11/2022
"Cerro Navia, La hondonada/la africana",190000000,5456.164,220,460,5,3,4,29/11/2022
"La Florida, Libertad / Salvador San Fuentes / 27 V. M",170000000,4881.831,127,370,4,2,0,29/11/2022
"San José de Maipo, Las vertientes",280325150,8050.0,140,1017,3,2,4,29/11/2022
"Colina, Condominio Casas de Hacienda",922809500,26500.0,350,930,4,4,6,29/11/2022
"Huechuraba, Hermosa Casa, Como Nueva !!",285548600,8200.0,136,182,4,4,2,29/11/2022
"Puente Alto, Puente alto",128845100,3700.0,70,180,3,2,2,29/11/2022
"Cerrillos, Pablo Suarez",250000000,7179.163,165,377,4,2,3,29/11/2022
"Quilicura, Los Carpatos   YC 60865/Monte Ancohuma",87000000,2498.349,80,80,5,2,0,29/11/2022
"Maipú, El Samaritano Tres 1103",117005280,3360.0,66,96,3,2,2,29/11/2022
"Santiago, Calle Chacabuco al 300, Maipú,",1009867000,29000.0,564,1102,6,5,5,29/11/2022
"Santiago, Presidente balmaceda nu-60828/ricardo cumming",78000000,2239.899,98,98,2,1,0,29/11/2022
"Las Condes, Correa Cortez Gonzalo",585026400,16800.0,128,128,3,2,2,29/11/2022
"Puente Alto, Cerro La Piña, Puente Alto",55000000,1579.416,63,63,4,1,1,29/11/2022
"La Pintana, Población San Rafael",60000000,1722.999,57,160,2,1,0,29/11/2022
"Las Condes, Santa Rita, Las Condes",588508700,16900.0,221,181,3,3,0,29/11/2022
"Colina, Los Jardines de Colina",870575000,25000.0,450,4750,4,4,4,29/11/2022
"Santiago, Casa de 1 Piso en Barrio Victoria",140000000,4020.331,157,214,3,2,0,29/11/2022
"Quilicura, Venta Casa 5 Dorm 2 baños  Quilicura",68000000,1952.732,90,92,5,2,0,29/11/2022
"Talagante, Francisco Leyton/Domingo Peralta",128148640,3680.0,139,279,5,2,0,29/11/2022
"Quinta Normal, Cónsul poinset",215000000,6174.08,100,442,8,1,0,29/11/2022
"San Bernardo, Urmeneta, San Bernardo",83575200,2400.0,90,90,2,1,0,29/11/2022
"Las Condes, Condominio",727800700,20900.0,239,1130,4,4,3,29/11/2022
"Las Condes, Martin de Zamora - Sánchez Fontecilla",623331700,17900.0,170,375,4,2,2,29/11/2022
"Estación Central, Av las torres/av santa corina",128000000,3675.732,89,120,4,2,0,29/11/2022
"La Florida, Los Raulies con Rojas Magallanes",330818500,9500.0,140,312,5,4,2,29/11/2022
"Melipilla, Las praderas de codigua  ag - 61003 /ruta g60",120000000,3445.998,138,280,4,2,0,29/11/2022
"Pudahuel, Pto Antofagasta  ag /Av. Laguna Sur",85000000,2440.915,150,84,4,2,0,29/11/2022
"La Reina, Clorinda Enriquez / Simón Bolivar",414393700,11900.0,220,450,3,5,3,29/11/2022
"Colina, 4D 4B estar mas taller con baño Algarrobal",504585270,14490.0,264,5017,4,4,2,29/11/2022
"Colina, Av. El Magnolio/Av. Santa Elena",400464500,11500.0,120,350,3,3,0,29/11/2022
"Puente Alto, Lago lanalhue/Rio calle calle",88000000,2527.065,64,150,3,1,0,29/11/2022
"Padre Hurtado, Pje estero seco rio aconcagua",88000000,2527.065,100,77,4,2,1,29/11/2022
"Santiago, Rogelio Ugarte",180000000,5168.998,162,170,5,2,0,29/11/2022
"La Cisterna, Entre calle Iquique y Covadonga",301602003,8661.0,300,500,5,5,1,29/11/2022
"Colina, 240 m2 en 4800 de terreno 4D 4B estar mas servicios",765757770,21990.0,240,4800,4,4,3,29/11/2022
"Peñaflor, Condominio Miraflores",184561900,5300.0,90,160,3,3,3,29/11/2022
"La Reina, 4 D 3 B mas servicios. 220 construidos en 320 de terreno",504585270,14490.0,220,320,4,3,3,29/11/2022
"San Bernardo, Avenida América/Costanera Manuel Magalanes Moure",282623468,8116.0,156,463,3,3,0,29/11/2022
"San Bernardo, Portales con San Alfonso",130000000,3733.165,150,220,5,1,0,29/11/2022
"Estación Central, Metro ecuador  am-51841 /av libertador bernado o higgin´s",155000000,4451.081,82,130,5,2,0,29/11/2022
"La Florida, Los Tulipanes  -  Antofagasta",190000000,5456.164,110,200,3,3,1,29/11/2022
"Estación Central, Estación Central, Región Metropolitana",480000000,13783.993,138,352,2,2,4,29/11/2022
"Recoleta, Fierro & Zapadores.",149900000,4304.626,80,180,3,1,0,29/11/2022
"Colina, Hermosa casa estilo Provenzal Francés en Santa Cecilia",571097200,16400.0,309,5373,4,4,0,29/11/2022
"Las Condes, Hermanos Cabot / Capitan Crosbie",626465770,17990.0,240,300,3,4,3,29/11/2022
"Lo Barnechea, La dehesa",574579500,16500.0,78,700,3,2,2,29/11/2022
"Paine, (am 56416) del villar/juan núñes",117945501,3387.0,160,140,5,2,0,29/11/2022
"Colina, AG 55333  Esmeralda/Aconcagua",75000000,2153.749,75,95,3,2,1,29/11/2022
"Maipú, Ciudad Satélite",166900000,4792.809,115,130,4,4,1,29/11/2022
"Colina, Santa Elena",365293270,10490.0,140,393,4,4,3,29/11/2022
"La Cisterna, madame bolland",254207900,7300.0,76,530,2,1,0,29/11/2022
"Maipú, Ciudad Satélite, Maipú",175000000,5025.414,119,300,4,3,1,29/11/2022
"La Florida, Casa 2 Pisos en Condominio Neo Paicaví",125000000,3589.582,92,78,3,2,0,29/11/2022
"Macul, Americo Vespucio 2300",117000000,3359.848,85,180,4,2,2,29/11/2022
"La Florida, Casa en jardines de la viña",271619400,7800.0,110,239,3,2,4,29/11/2022
"Lampa, Los halcones ag-58953/guayacan",89146880,2560.0,80,150,2,1,0,29/11/2022
"La Reina, loreley 176,la reina",420000000,12060.994,210,450,5,5,3,29/11/2022
"Ñuñoa, Alcázar 4303",644225500,18500.0,195,300,5,4,0,29/11/2022
"La Florida, La Florida, Región Metropolitana",139988460,4020.0,120,130,2,2,1,29/11/2022
"Las Condes, Vaticano",644260323,18501.0,167,10,3,2,2,29/11/2022
"Lo Barnechea, Camino la Tagua / Lo Barnechea",1392920000,40000.0,500,980,6,3,0,29/11/2022
"Las Condes, Casa apta para oficina en sector residencial de Las Condes // Las Condes",518862700,14900.0,250,528,4,3,4,29/11/2022
"Padre Hurtado, Pasaje estero seco",88000000,2527.065,77,77,3,2,1,29/11/2022
